,,,分類,原価,原価,原価,原価,原価,売上,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,販管費,営業外,営業外,営業外,営業外(マイナス),営業外(マイナス),
,単年累計,部門別累計(年度跨ぎ,集計先,労務費-社内人件費費,労務費-社内人件費費,外注費-社外人件費費,その他原価,その他原価,売上,役員報酬,労務費-社内人件費費,労務費-社内人件費費,その他全社販管費,外注費-社外人件費費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,その他全社販管費,営業外,営業外,営業外,営業外(マイナス),営業外(マイナス),
,,,,[製]給料手当,[製]法定福利費,[製]外注加工費,[製]旅費交通費,[製]支払手数料,売上高,役員報酬,給料手当,法定福利費,福利厚生費,外注費,広告宣伝費,交際費,会議費,旅費交通費,通信費,販売手数料,販売促進費,消耗品費,水道光熱費,新聞図書費,支払手数料,地代家賃,租税公課,支払報酬料,減価償却費,受取利息,受取配当金,雑収入,支払利息,法人税・住民税及び事業税,ソフトウエア仮勘定
1000,コーポレート,ー,1000／コーポ,0,0,0,0,0,0,0,4423825,804114,36671,5180759,583173,60893,0,846785,269108,0,0,20877,374530,0,7490007,5400000,133512,1703000,294910,6560,160,805136,"527,877",998,0
1001,PR/マーケ,ー,1001／PR／マーケ,0,0,0,0,0,1025455,275000,3453031,537964,14747,3019162,1070582,38655,28380,120289,0,0,320683,21573,0,0,2374842,0,0,0,0,0,0,1629090,0,0,0
1002,セールス,ー,1002／セールス,0,0,306000,0,0,0,3168000,4428388,1098447,0,4611440,260000,40536,0,66574,0,3946200,0,0,0,0,961225,0,0,0,0,0,0,0,0,0,0
1006,アベイラブル,1006,1006／CTO室,0,0,0,0,0,0,0,1375500,212104,0,3390922,0,0,0,58978,0,0,0,0,0,0,79993,0,0,0,0,0,0,0,0,0,0
1007,コーポサイト制作,1007,1007／アベイラブル（未稼働分）,0,0,0,0,0,0,0,6447684,992965,0,3312486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,PR,1010,1010／マーケ,0,0,0,0,0,1050000,385000,6242009,903995,26350,2257780,0,40909,8864,102896,0,376000,0,28072,0,0,3179640,0,0,0,0,0,0,100000,0,0,0
1011,経営チーム,1011,1011／PR,78750,236,0,0,0,0,0,272250,817,0,9086763,0,89307,35911,70421,0,0,0,8130,0,0,1803078,0,0,0,0,0,0,10092120,0,0,0
1099,AttendBiz,1099,1099／経営チーム,0,1619,0,0,0,0,3998500,1906000,853032,0,783360,0,692825,81838,388926,0,0,0,0,0,6000,509886,0,0,0,0,0,0,0,0,0,0
200601,AttendBiz,200601,200601／株式会社A,74000,28840,788290,0,0,1100000,132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200602,AttendBiz,200602,200602／株式会社B,92258,18339,9235061,0,3600,20564000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200801,AttendBiz,200801,200801／株式会社C,0,0,158040,0,594015,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,AttendBiz,202002,202002／株式会社D,0,54964,2893796,0,0,5700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202201,AttendBiz,202201,202201／株式会社E,442250,285666,2216900,0,0,9000000,1254000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202301,AttendBiz,202301,202301／株式会社F,49500,7494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202302,AttendBiz,202302,202302／株式会社G,951992,118780,1354713,0,0,5580000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202401,AttendBiz,202401,202401／株式会社E,1370913,178727,499722,0,81311,4175000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,AttendBiz,202501,202501／株式会社F,555500,138192,644404,0,0,3306467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202901,AttendBiz,202901,202901／株式会社G,63797,9417,60800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203101,AttendBiz,203101,203101／株式会社H,2787318,368080,11740059,0,45573,33500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
